trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
243,False,"{'a': 0.55, 'e': 0.08803683258237255}",20,8,-116.86573814406114,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 3}",1
244,False,"{'a': 0.55, 'e': 0.0871608514619813}",25,13,-70.58717252666756,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
245,False,"{'a': 0.55, 'e': 0.0862935864993705}",20,10,-80.08879301886796,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 1}",1
246,False,"{'a': 0.55, 'e': 0.08543495096732123}",25,15,-53.87698203334146,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
247,False,"{'a': 0.55, 'e': 0.08458485900156469}",20,0,-183.8048282882389,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
248,False,"{'a': 0.55, 'e': 0.08374322559219596}",25,18,-40.2206000409303,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
249,False,"{'a': 0.55, 'e': 0.08290996657517266}",25,20,10.086186887257302,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.55, 'e': 0.0820849986238988}",20,9,-49.47893063008095,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
251,False,"{'a': 0.55, 'e': 0.08126823924089167}",20,8,-23.13012965066335,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.55, 'e': 0.08045960674953244}",20,14,-32.09302600840308,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
253,False,"{'a': 0.55, 'e': 0.07965902028589801}",30,16,-59.83766432825607,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
254,False,"{'a': 0.55, 'e': 0.07886639979067495}",25,5,-42.942320059597996,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",1
255,False,"{'a': 0.55, 'e': 0.07808166600115313}",30,15,-18.9601844351566,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
256,False,"{'a': 0.55, 'e': 0.07730474044329974}",25,15,-17.425931701081478,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
257,False,"{'a': 0.55, 'e': 0.07653554542391151}",25,7,-151.4875894333945,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 4}",1
258,False,"{'a': 0.55, 'e': 0.07577400402284548}",25,17,-7.950657852641583,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
259,False,"{'a': 0.55, 'e': 0.07502004008532698}",30,2,-105.08732211025517,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 1}",1
260,False,"{'a': 0.55, 'e': 0.07427357821433388}",30,22,-49.43925648466449,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
261,False,"{'a': 0.55, 'e': 0.0735345437630571}",25,9,-17.753423406462577,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
262,False,"{'a': 0.55, 'e': 0.07280286282743559}",20,0,-130.21630793717645,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
263,False,"{'a': 0.55, 'e': 0.0720784622387661}",30,15,-72.50004864256725,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
264,False,"{'a': 0.55, 'e': 0.07136126955638605}",25,17,4.3878467282901745,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.55, 'e': 0.0706512130604296}",20,11,-78.5232601124582,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
266,False,"{'a': 0.55, 'e': 0.06994822174465536}",25,15,-35.34226938530523,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
267,False,"{'a': 0.55, 'e': 0.069252225309346}",25,8,-35.14179496912908,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
268,False,"{'a': 0.55, 'e': 0.06856315415427791}",25,8,-80.45698382179607,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
269,False,"{'a': 0.55, 'e': 0.06788093937176144}",20,9,-107.26604269831397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
270,False,"{'a': 0.55, 'e': 0.06720551273974976}",20,14,10.35978476610777,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.55, 'e': 0.06653680671501686}",20,9,-21.707384781055424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
272,False,"{'a': 0.55, 'e': 0.06587475442640295}",20,1,-82.96941725294914,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
